iter	Passed	Remaining
166	227	1133
167	227	1128
168	228	1122
169	228	1117
170	229	1112
171	229	1106
172	230	1101
173	230	1096
174	231	1091
175	231	1086
176	232	1081
177	233	1076
178	233	1071
179	234	1066
180	234	1060
181	234	1055
182	235	1050
183	235	1045
184	236	1041
185	236	1036
186	237	1032
187	237	1027
188	238	1023
189	238	1018
190	239	1014
191	240	1010
192	240	1005
193	241	1001
194	241	997
195	242	993
196	242	988
197	243	984
198	243	980
199	244	976
200	244	972
201	245	968
202	245	964
203	246	960
204	246	957
205	247	953
206	247	949
207	248	945
208	248	942
209	249	938
210	249	934
211	250	930
212	250	927
213	251	923
214	252	920
215	252	916
216	253	913
217	253	909
218	254	906
219	254	902
220	255	899
221	255	895
222	256	892
223	256	889
224	257	886
225	257	883
226	258	879
227	258	876
228	259	873
229	259	870
230	260	867
231	261	864
232	261	860
233	262	857
234	262	854
235	263	851
236	263	848
237	264	845
238	264	842
239	265	839
240	265	836
241	266	833
242	266	830
243	267	828
244	267	825
245	268	822
246	268	819
247	269	816
248	269	813
249	270	811
250	270	808
251	271	805
252	271	802
253	272	800
254	272	797
255	273	794
256	273	792
257	274	789
258	274	786
259	275	784
260	276	781
261	276	779
262	277	776
263	277	773
264	278	771
265	278	768
266	279	766
267	279	763
268	280	761
269	280	758
270	281	756
271	281	754
272	282	751
273	282	749
274	283	746
275	283	744
276	284	741
277	284	739
278	285	737
279	286	736
280	286	734
281	287	732
282	288	730
283	288	728
284	289	726
285	290	724
286	290	722
287	291	720
288	291	718
289	292	716
290	293	714
291	293	712
292	294	710
293	294	708
294	295	705
295	295	703
296	296	702
297	297	700
298	297	698
299	298	696
300	298	694
301	299	692
302	299	690
303	300	688
304	301	686
305	301	684
306	302	682
307	302	680
308	303	678
309	303	676
310	304	675
311	305	673
312	306	671
313	306	669
314	307	667
315	307	665
316	308	664
317	308	662
318	309	660
319	309	658
320	310	656
321	310	654
322	311	652
323	311	650
324	312	648
325	312	647
326	313	645
327	314	643
328	314	641
329	315	639
330	315	637
331	316	636
332	316	634
333	317	632
334	317	630
335	318	628
336	318	627
337	319	625
338	319	623
339	320	621
340	320	620
341	321	618
342	321	616
343	322	614
344	322	613
345	323	611
346	323	609
347	324	607
348	324	606
349	325	604
350	325	602
351	326	601
352	327	599
353	327	597
354	328	596
355	328	594
356	329	592
357	329	591
358	330	589
359	330	587
360	331	586
361	331	584
362	332	583
363	332	581
364	333	579
365	333	578
366	334	576
367	334	575
368	335	573
369	335	572
370	336	570
371	336	568
372	337	567
373	338	565
374	338	564
375	339	562
376	339	561
377	340	559
378	340	558
379	341	556
380	341	555
381	342	553
382	342	552
383	343	550
384	343	549
385	344	547
386	344	546
387	345	544
388	345	543
389	346	541
390	346	540
391	347	538
392	347	537
393	348	535
394	348	534
395	349	533
396	349	531
397	350	530
398	350	528
399	351	527
400	352	525
401	352	524
402	353	523
403	353	521
404	354	520
405	354	518
406	355	517
407	355	516
408	356	514
409	356	513
410	357	512
411	357	510
412	358	509
413	359	508
414	359	507
415	360	505
416	360	504
417	361	503
418	362	502
419	362	500
420	363	499
421	363	498
422	364	497
423	365	495
424	365	494
425	366	493
426	366	491
427	367	490
428	367	489
429	368	487
430	368	486
431	369	485
432	369	484
433	370	482
434	370	481
435	371	480
436	371	478
437	372	477
438	372	476
439	373	475
440	373	473
441	374	472
442	374	471
443	375	470
444	375	468
445	376	467
446	376	466
447	377	465
448	377	463
449	378	462
450	378	461
451	379	460
452	380	458
453	380	457
454	381	456
455	381	455
456	382	454
457	382	452
458	383	451
459	383	450
460	384	449
461	384	447
462	385	446
463	385	445
464	386	444
465	386	443
466	387	442
467	388	441
468	388	439
469	389	438
470	389	437
471	390	436
472	390	435
473	391	434
474	391	432
475	392	431
476	392	430
477	393	429
478	393	428
479	394	427
480	394	425
481	395	424
482	395	423
483	396	422
484	396	421
485	397	420
486	397	419
487	398	417
488	398	416
489	399	415
490	399	414
491	400	413
492	401	412
493	401	411
494	402	410
495	402	409
496	403	408
497	403	406
498	404	405
499	404	404
500	405	403
501	405	402
502	406	401
503	406	400
504	407	399
505	407	398
506	408	396
507	408	395
508	409	394
509	409	393
510	410	392
511	410	391
512	411	390
513	411	389
514	412	388
515	413	387
516	413	386
517	414	385
518	414	384
519	415	383
520	415	382
521	416	381
522	416	380
523	417	379
524	417	377
525	418	376
526	418	375
527	419	374
528	419	373
529	420	372
530	420	371
531	421	370
532	421	369
533	422	368
534	422	367
535	423	366
536	424	365
537	424	364
538	425	363
539	425	362
540	426	361
541	426	360
542	427	359
543	427	358
544	428	357
545	428	356
546	429	355
547	429	354
548	430	353
549	430	352
550	431	351
551	432	350
552	432	349
553	433	348
554	433	347
555	434	346
556	434	345
557	435	344
558	435	343
559	436	342
560	436	341
561	437	340
562	437	339
563	438	338
564	438	337
565	439	336
566	439	335
567	440	334
568	440	333
569	441	332
570	441	332
571	442	331
572	442	330
573	443	329
574	444	328
575	444	327
576	445	326
577	445	325
578	446	324
579	446	323
580	447	322
581	447	321
582	448	320
583	448	319
584	449	318
585	449	317
586	450	316
587	450	315
588	451	314
589	451	313
590	452	313
591	452	312
592	453	311
593	453	310
594	454	309
595	454	308
596	455	307
597	455	306
598	456	305
599	456	304
600	457	303
601	458	302
602	458	301
603	459	300
604	459	300
605	460	299
606	460	298
607	461	297
608	461	296
609	462	295
610	462	294
611	463	293
612	463	292
613	464	291
614	464	290
615	465	290
616	465	289
617	466	288
618	466	287
619	467	286
620	467	285
621	468	284
622	468	283
623	469	282
624	469	281
625	470	281
626	470	280
627	471	279
628	471	278
629	472	277
630	472	276
631	473	275
632	474	274
633	474	273
634	475	273
635	475	272
636	476	271
637	476	270
638	477	269
639	477	268
640	478	267
641	478	266
642	479	266
643	479	265
644	480	264
645	480	263
646	481	262
647	481	261
648	482	260
649	482	259
650	483	259
651	483	258
652	484	257
653	484	256
654	485	255
655	485	254
656	486	253
657	487	253
658	487	252
659	488	251
660	488	250
661	489	249
662	489	248
663	490	248
664	490	247
665	491	246
666	492	245
667	492	244
668	493	243
669	493	243
670	494	242
671	494	241
672	495	240
673	495	239
674	496	238
675	496	238
676	497	237
677	497	236
678	498	235
679	498	234
680	499	233
681	499	233
682	500	232
683	501	231
684	501	230
685	502	229
686	502	228
687	503	228
688	503	227
689	504	226
690	504	225
691	505	224
692	505	224
693	506	223
694	506	222
695	507	221
696	507	220
697	508	219
698	508	219
699	509	218
700	510	217
701	510	216
702	511	215
703	511	215
704	512	214
705	512	213
706	513	212
707	513	211
708	514	210
709	514	210
710	515	209
711	515	208
712	516	207
713	516	206
714	517	206
715	517	205
716	518	204
717	518	203
718	519	202
719	519	202
720	520	201
721	520	200
722	521	199
723	522	199
724	522	198
725	523	197
726	523	196
727	524	195
728	524	195
729	525	194
730	525	193
731	526	192
732	526	191
733	527	191
734	527	190
735	528	189
736	528	188
737	529	187
738	530	187
739	530	186
740	531	185
741	531	184
742	532	184
743	532	183
744	533	182
745	533	181
746	534	180
747	534	180
748	535	179
749	535	178
750	536	177
751	536	177
752	537	176
753	537	175
754	538	174
755	538	173
756	539	173
757	539	172
758	540	171
759	541	170
760	541	170
761	542	169
762	542	168
763	543	167
764	543	167
765	544	166
766	544	165
767	545	164
768	545	163
769	546	163
770	546	162
771	547	161
772	547	160
773	548	160
774	548	159
775	549	158
776	549	157
777	550	157
778	551	156
779	551	155
780	552	154
781	552	154
782	553	153
783	553	152
784	554	151
785	554	151
786	555	150
787	555	149
788	556	148
789	556	148
790	557	147
791	558	146
792	558	145
793	559	145
794	559	144
795	560	143
796	560	142
797	561	142
798	561	141
799	562	140
800	562	139
801	563	139
802	563	138
803	564	137
804	564	136
805	565	136
806	565	135
807	566	134
808	566	133
809	567	133
810	567	132
811	568	131
812	568	130
813	569	130
814	570	129
815	570	128
816	571	127
817	571	127
818	571	126
819	572	125
820	573	124
821	573	124
822	574	123
823	574	122
824	575	121
825	575	121
826	576	120
827	576	119
828	577	119
829	577	118
830	578	117
831	578	116
832	579	116
833	579	115
834	580	114
835	580	113
836	581	113
837	581	112
838	582	111
839	582	111
840	583	110
841	583	109
842	584	108
843	585	108
844	585	107
845	586	106
846	586	105
847	587	105
848	587	104
849	588	103
850	588	103
851	589	102
852	589	101
853	590	100
854	590	100
855	591	99
856	591	98
857	592	98
858	592	97
859	593	96
860	593	95
861	594	95
862	595	94
863	595	93
864	596	93
865	596	92
866	597	91
867	598	90
868	598	90
869	599	89
870	599	88
871	600	88
872	600	87
873	601	86
874	602	86
875	602	85
876	603	84
877	603	83
878	604	83
879	605	82
880	605	81
881	606	81
882	606	80
883	607	79
884	607	78
885	608	78
886	608	77
887	609	76
888	610	76
889	610	75
890	611	74
891	611	74
892	612	73
893	612	72
894	613	71
895	613	71
896	614	70
897	614	69
898	615	69
899	615	68
900	616	67
901	616	67
902	617	66
903	618	65
904	618	64
905	619	64
906	619	63
907	620	62
908	620	62
909	621	61
910	621	60
911	622	60
912	622	59
913	623	58
914	623	57
915	624	57
916	624	56
917	625	55
918	625	55
919	626	54
920	626	53
921	627	53
922	627	52
923	628	51
924	628	50
925	629	50
926	630	49
927	630	48
928	631	48
929	631	47
930	632	46
931	632	46
932	633	45
933	633	44
934	634	44
935	634	43
936	635	42
937	635	42
938	636	41
939	636	40
940	637	39
941	637	39
942	638	38
943	638	37
944	639	37
945	639	36
946	640	35
947	640	35
948	641	34
949	641	33
950	642	33
951	642	32
952	643	31
953	643	31
954	644	30
955	644	29
956	645	28
957	645	28
958	646	27
959	646	26
960	647	26
961	647	25
962	648	24
963	648	24
964	649	23
965	649	22
966	650	22
967	650	21
968	651	20
969	652	20
970	652	19
971	653	18
972	653	18
973	654	17
974	654	16
975	655	16
976	655	15
977	656	14
978	656	14
979	657	13
980	657	12
981	658	12
982	658	11
983	659	10
984	659	10
985	660	9
986	660	8
987	661	8
988	661	7
989	662	6
990	662	6
991	663	5
992	663	4
993	664	4
994	664	3
995	665	2
996	665	2
997	666	1
998	666	0
999	667	0
